NombreUsuario,Local,Visitante,GolesLocal,GolesVisitante,Puntos
Andrés Arias Guillén,Costa Rica,Brasil,2,1,0
María Fernanda Rodríguez,Argentina,España,1,1,0
Carlos Alberto Vargas,México,Alemania,0,2,0
Sofía González,Francia,Italia,2,0,0
Daniel Ramírez,Portugal,Inglaterra,1,2,0
Valeria Castro,Países Bajos,Bélgica,3,1,0
José Luis Herrera,Uruguay,Colombia,1,1,0
Camila Martínez,Chile,Ecuador,2,1,0
Miguel Ángel Rojas,Perú,Paraguay,0,1,0
Laura Jiménez,Bolivia,Venezuela,2,2,0
Alejandro Sánchez,Costa Rica,Brasil,1,0,0
Gabriela Morales,Argentina,España,2,1,0
Fernando Solís,México,Estados Unidos,2,2,0
Natalia Vargas,México,Alemania,1,1,0
Diego Fernández,Francia,Italia,0,1,0
Andrea Chaves,Portugal,Inglaterra,2,2,0
Luis Fernando Pérez,Países Bajos,Bélgica,1,0,0
Daniela Méndez,Uruguay,Colombia,2,1,0
Ricardo Alfaro,Chile,Ecuador,1,1,0
Paula Hernández,Perú,Paraguay,2,0,0
Esteban Ramírez,Bolivia,Venezuela,1,2,0
