Nombre,PaisPreferido,Puntos
Andrés Arias Guillén,Costa Rica,25
María Fernanda Rodríguez,Brasil,30
Carlos Alberto Vargas,Argentina,18
Sofía González,Costa Rica,42
Daniel Ramírez,España,35
Valeria Castro,México,50
José Luis Herrera,Alemania,24
Camila Martínez,Francia,45
Miguel Ángel Rojas,Italia,28
Laura Jiménez,Portugal,33
Alejandro Sánchez,Inglaterra,39
Gabriela Morales,Países Bajos,31
Fernando Solís,Bélgica,22
Natalia Vargas,Uruguay,47
Diego Fernández,Colombia,36
Andrea Chaves,Chile,19
Luis Fernando Pérez,Ecuador,27
Daniela Méndez,Perú,24
Ricardo Alfaro,Paraguay,32
Paula Hernández,Bolivia,15
Esteban Ramírez,Venezuela,21
Karla Rodríguez,Estados Unidos,40
Andrés Calderón,Japón,38
Melissa Arias,Corea del Sur,26
Jorge Valverde,Australia,34
Patricia Mora,Marruecos,44
Roberto Jiménez,Senegal,17
Carolina Vargas,Ghana,23
Mauricio Castro,Nigeria,37
Valentina Rojas,Camerún,20
Pablo Sánchez,Suiza,41
Mariana López,Croacia,48
Sergio González,Serbia,16
Isabel Torres,Polonia,30
Marco Antonio Ruiz,Dinamarca,27
Fernanda Solano,Suecia,35
Cristian Méndez,Noruega,14
Alejandra Vega,Turquía,43
Óscar Ramírez,Grecia,12
Lucía Arias,Austria,26
Andy Yocks Sandoval,Costa Rica,0,Administrador,1234,true
